tconst	nconst	category	averageRating	numVotes
tt0046200	nm0000003	actress	5.4	27.0
tt0047607	nm0000003	actress	6.2	41.0
tt0048001	nm0000003	actress	5.8	678.0
tt0048103	nm0000003	actress	5.2	96.0
tt0048321	nm0000003	actress	6.1	101.0
tt0049063	nm0000003	actress	5.9	378.0
tt0049182	nm0000003	actress	6.0	443.0
tt0049189	nm0000003	actress	6.3	6334.0
tt0049301	nm0000003	actress	6.2	1701.0
tt0049483	nm0000003	actress	5.7	137.0
tt0049508	nm0000003	actress	5.8	232.0
tt0050193	nm0000003	actress	5.6	539.0
tt0051133	nm0000003	actress	6.3	690.0
tt0051579	nm0000003	actress	6.9	1007.0
tt0051608	nm0000003	actress	5.2	180.0
tt0052595	nm0000003	actress	6.1	282.0
tt0053428	nm0000003	actress	6.3	474.0
tt0054377	nm0000003	actress	7.4	2245.0
tt0054452	nm0000003	actress	7.6	1996.0
tt0054700	nm0000003	actress	5.9	279.0
tt0055599	nm0000003	actress	5.6	860.0
tt0056404	nm0000003	actress	5.5	407.0
tt0057345	nm0000003	actress	7.7	23377.0
tt0058703	nm0000003	actress	5.6	252.0
tt0059956	nm0000003	actress	6.4	2853.0
tt0062534	nm0000003	actress	5.2	182.0
tt0063592	nm0000003	actress	5.5	2280.0
tt0063715	nm0000003	actress	6.6	4675.0
tt0064324	nm0000003	actress	5.5	287.0
tt0064779	nm0000003	actress	6.5	357.0
tt0066164	nm0000003	actress	5.0	178.0
tt0066857	nm0000003	actress	5.6	358.0
tt0067637	nm0000003	actress	5.3	867.0
tt0069899	nm0000003	actress	4.4	105.0
tt0069990	nm0000003	actress	5.0	692.0
tt5235716	nm0000003	actress	7.0	26.0
tt0059402	nm0000003	archive_footage	7.4	402.0
tt0208054	nm0000003	archive_footage	7.1	9.0
tt0220439	nm0000003	archive_footage	5.7	15.0
tt0239307	nm0000003	archive_footage	6.0	7.0
tt0273756	nm0000003	archive_footage	1.8	50.0
tt0319507	nm0000003	archive_footage	5.0	30.0
tt0421512	nm0000003	archive_footage		
tt0488301	nm0000003	archive_footage	4.0	9.0
tt0495692	nm0000003	archive_footage	6.0	82.0
tt0498734	nm0000003	archive_footage	1.2	47.0
tt0724595	nm0000003	archive_footage		
tt0769554	nm0000003	archive_footage	6.7	34.0
tt0775338	nm0000003	archive_footage		
tt0800099	nm0000003	archive_footage	7.7	3384.0
tt0819783	nm0000003	archive_footage		
tt0972409	nm0000003	archive_footage		
tt0992000	nm0000003	archive_footage		
tt1016367	nm0000003	archive_footage		
tt1133294	nm0000003	archive_footage		
tt1193059	nm0000003	archive_footage		
tt1222533	nm0000003	archive_footage	4.7	10.0
tt1262207	nm0000003	archive_footage	6.4	5.0
tt1270387	nm0000003	archive_footage		
tt1473385	nm0000003	archive_footage	7.6	46.0
tt1473856	nm0000003	archive_footage	5.7	6.0
tt1484991	nm0000003	archive_footage	7.0	26.0
tt1714820	nm0000003	archive_footage	6.9	49.0
tt1933576	nm0000003	archive_footage		
tt2004245	nm0000003	archive_footage		
tt2219989	nm0000003	archive_footage		
tt2243299	nm0000003	archive_footage	8.2	1894.0
tt2305265	nm0000003	archive_footage		
tt2481944	nm0000003	archive_footage		
tt2589512	nm0000003	archive_footage	8.3	38.0
tt3317546	nm0000003	archive_footage	6.3	56.0
tt3526934	nm0000003	archive_footage		
tt4323536	nm0000003	archive_footage	7.0	1192.0
tt5311536	nm0000003	archive_footage	7.9	50.0
tt6347094	nm0000003	archive_footage	7.9	7.0
tt7963868	nm0000003	archive_footage	7.5	6.0
tt8574684	nm0000003	archive_footage		
tt0056862	nm0000003	self	6.2	51.0
tt0057871	nm0000003	self	5.8	110.0
tt0058448	nm0000003	self	6.4	183.0
tt0059791	nm0000003	self	3.2	17.0
tt0068585	nm0000003	self	6.6	58.0
tt0286337	nm0000003	self	7.4	11.0
tt0289148	nm0000003	self	7.2	57.0
tt0316666	nm0000003	self	7.6	29.0
tt0356245	nm0000003	self	7.0	5.0
tt0375525	nm0000003	self	8.2	52.0
tt0378539	nm0000003	self	8.8	15.0
tt0407554	nm0000003	self		
tt0441512	nm0000003	self		
tt0473484	nm0000003	self	6.9	75.0
tt0541639	nm0000003	self		
tt0541671	nm0000003	self		
tt0631182	nm0000003	self		
tt0665316	nm0000003	self		
tt0697835	nm0000003	self		
tt0724415	nm0000003	self		
tt0724749	nm0000003	self		
tt0782474	nm0000003	self		
tt0871959	nm0000003	self		
tt0901820	nm0000003	self		
tt0950484	nm0000003	self		
tt1047710	nm0000003	self		
tt1048810	nm0000003	self		
tt1087802	nm0000003	self		
tt1123950	nm0000003	self		
tt1135173	nm0000003	self		
tt1354641	nm0000003	self		
tt1386634	nm0000003	self	7.0	24.0
tt1400628	nm0000003	self	5.8	6.0
tt1405401	nm0000003	self	7.3	18.0
tt1702513	nm0000003	self	5.0	6.0
tt1843948	nm0000003	self	5.8	18.0
tt2074902	nm0000003	self		
tt2076628	nm0000003	self		
tt2222007	nm0000003	self		
tt2255186	nm0000003	self		
tt2288040	nm0000003	self		
tt2318189	nm0000003	self		
tt2554168	nm0000003	self		
tt2589084	nm0000003	self		
tt2730030	nm0000003	self		
tt2751470	nm0000003	self		
tt2870702	nm0000003	self		
tt3466226	nm0000003	self		
tt3776762	nm0000003	self		
tt4304246	nm0000003	self		
tt4309452	nm0000003	self		
tt4981286	nm0000003	self		
tt5192706	nm0000003	self		
tt5324730	nm0000003	self		
tt5376050	nm0000003	self		
tt5650264	nm0000003	self		
tt5837720	nm0000003	self		
tt5888160	nm0000003	self		
tt6245098	nm0000003	self		
tt6355100	nm0000003	self		
tt6383626	nm0000003	self		
tt6394770	nm0000003	self		
tt6406490	nm0000003	self		
tt6651848	nm0000003	self		
tt6651850	nm0000003	self		
tt6987412	nm0000003	self		
tt7457190	nm0000003	self		
tt7660574	nm0000003	self		
tt7660586	nm0000003	self		
tt7827632	nm0000003	self		
tt8011554	nm0000003	self		
tt8487140	nm0000003	self		
tt0040745	nm0000013	actress	7.0	1447.0
tt0041515	nm0000013	actress	6.2	1206.0
tt0041671	nm0000013	actress	6.6	882.0
tt0043030	nm0000013	actress	6.6	1363.0
tt0043123	nm0000013	actress	6.2	993.0
tt0043153	nm0000013	actress	7.2	2437.0
tt0043669	nm0000013	actress	6.8	736.0
tt0043762	nm0000013	actress	6.8	773.0
tt0043880	nm0000013	actress	7.1	1956.0
tt0044070	nm0000013	actress	6.0	322.0
tt0044075	nm0000013	actress	7.2	1152.0
tt0044370	nm0000013	actress	6.1	928.0
tt0045332	nm0000013	actress	6.5	705.0
tt0045586	nm0000013	actress	7.1	1665.0
tt0045591	nm0000013	actress	7.3	7134.0
tt0047194	nm0000013	actress	6.1	527.0
tt0047688	nm0000013	actress	6.9	1933.0
tt0048317	nm0000013	actress	7.2	3135.0
tt0049388	nm0000013	actress	6.2	1097.0
tt0049470	nm0000013	actress	7.5	49023.0
tt0050814	nm0000013	actress	6.8	2714.0
tt0052278	nm0000013	actress	7.1	3575.0
tt0052325	nm0000013	actress	6.0	919.0
tt0052933	nm0000013	actress	6.6	1921.0
tt0053172	nm0000013	actress	7.5	13038.0
tt0054084	nm0000013	actress	6.9	3704.0
tt0054188	nm0000013	actress	6.5	3448.0
tt0055100	nm0000013	actress	7.3	5742.0
tt0055797	nm0000013	actress	6.2	1111.0
tt0056575	nm0000013	actress	6.7	7374.0
tt0057329	nm0000013	actress	7.0	4206.0
tt0057581	nm0000013	actress	7.0	3922.0
tt0058571	nm0000013	actress	7.0	5005.0
tt0059112	nm0000013	actress	5.9	1295.0
tt0060463	nm0000013	actress	6.5	3533.0
tt0061380	nm0000013	actress	5.8	684.0
tt0061447	nm0000013	actress	5.7	1025.0
tt0062558	nm0000013	actress	7.5	468.0
tt0063801	nm0000013	actress	5.8	715.0
tt0063821	nm0000013	actress	6.4	2143.0
tt0105268	nm0000013	actress	5.9	321.0
tt0109646	nm0000013	actress	6.5	26.0
tt0564562	nm0000013	actress	6.3	9.0
tt0564563	nm0000013	actress	6.8	13.0
tt0564564	nm0000013	actress	6.4	13.0
tt0564565	nm0000013	actress	6.7	15.0
tt0564566	nm0000013	actress	7.3	7.0
tt0564567	nm0000013	actress	6.4	15.0
tt0564568	nm0000013	actress	6.2	10.0
tt0564569	nm0000013	actress	6.7	10.0
tt0564570	nm0000013	actress	6.0	11.0
tt0564571	nm0000013	actress	6.8	5.0
tt0564572	nm0000013	actress	7.2	5.0
tt0564573	nm0000013	actress	4.2	9.0
tt0564574	nm0000013	actress	7.2	29.0
tt0564575	nm0000013	actress	6.2	8.0
tt0564576	nm0000013	actress	7.5	20.0
tt0564577	nm0000013	actress	7.0	11.0
tt0564578	nm0000013	actress	6.0	5.0
tt0564579	nm0000013	actress	6.6	5.0
tt0564580	nm0000013	actress	7.2	11.0
tt0564582	nm0000013	actress	7.4	7.0
tt0564583	nm0000013	actress	6.3	6.0
tt0564584	nm0000013	actress	5.8	5.0
tt0564585	nm0000013	actress	5.1	18.0
tt0564586	nm0000013	actress	6.8	5.0
tt0564587	nm0000013	actress	5.9	7.0
tt0564588	nm0000013	actress	5.3	15.0
tt0564589	nm0000013	actress	7.2	5.0
tt0564590	nm0000013	actress	7.2	12.0
tt0564591	nm0000013	actress	6.2	10.0
tt0564592	nm0000013	actress	5.9	7.0
tt0564593	nm0000013	actress	6.7	10.0
tt0564594	nm0000013	actress	7.1	11.0
tt0564595	nm0000013	actress	7.0	5.0
tt0564596	nm0000013	actress	7.4	25.0
tt0564597	nm0000013	actress	7.1	19.0
tt0564598	nm0000013	actress	6.2	6.0
tt0564599	nm0000013	actress	6.8	17.0
tt0564600	nm0000013	actress	7.5	12.0
tt0564601	nm0000013	actress	4.6	10.0
tt0564602	nm0000013	actress	6.8	11.0
tt0564603	nm0000013	actress	8.2	10.0
tt0564604	nm0000013	actress	8.1	11.0
tt0564605	nm0000013	actress	7.2	14.0
tt0564606	nm0000013	actress	4.6	7.0
tt0564607	nm0000013	actress	6.8	16.0
tt0564608	nm0000013	actress	6.1	12.0
tt0564609	nm0000013	actress	6.4	18.0
tt0564610	nm0000013	actress	6.9	10.0
tt0564611	nm0000013	actress	6.2	5.0
tt0564612	nm0000013	actress	4.7	9.0
tt0564613	nm0000013	actress	5.8	5.0
tt0564614	nm0000013	actress	6.2	12.0
tt0564615	nm0000013	actress	5.8	5.0
tt0564616	nm0000013	actress	7.3	18.0
tt0564617	nm0000013	actress	5.5	8.0
tt0564618	nm0000013	actress	6.9	22.0
tt0564619	nm0000013	actress	7.2	5.0
tt0564620	nm0000013	actress	7.4	9.0
tt0564621	nm0000013	actress	6.6	5.0
tt0564622	nm0000013	actress	5.8	8.0
tt0564623	nm0000013	actress	8.0	5.0
tt0564624	nm0000013	actress	7.6	12.0
tt0564625	nm0000013	actress	5.6	15.0
tt0760639	nm0000013	actress	6.9	19.0
tt0799602	nm0000013	actress	6.2	17.0
tt1044265	nm0000013	actress	7.8	28.0
tt1044266	nm0000013	actress	7.4	20.0
tt1044267	nm0000013	actress	6.8	5.0
tt1050859	nm0000013	actress	6.5	11.0
tt1113065	nm0000013	actress	7.0	6.0
tt1113066	nm0000013	actress	8.0	6.0
tt1180437	nm0000013	actress	7.6	5.0
tt1180438	nm0000013	actress	7.0	5.0
tt1180439	nm0000013	actress	8.0	8.0
tt1180440	nm0000013	actress	6.6	7.0
tt1181007	nm0000013	actress	6.4	5.0
tt1181008	nm0000013	actress	6.8	11.0
tt1181009	nm0000013	actress	6.0	5.0
tt1181010	nm0000013	actress	7.9	7.0
tt1284200	nm0000013	actress	5.9	12.0
tt1285493	nm0000013	actress	7.8	19.0
tt1285494	nm0000013	actress	5.4	14.0
tt1286974	nm0000013	actress	6.6	8.0
tt1286975	nm0000013	actress	5.7	10.0
tt1286976	nm0000013	actress	6.7	11.0
tt1286977	nm0000013	actress	6.1	11.0
tt1286978	nm0000013	actress	6.9	12.0
tt1286980	nm0000013	actress	6.5	11.0
tt1286981	nm0000013	actress	6.5	11.0
tt1286982	nm0000013	actress	6.8	11.0
tt1300924	nm0000013	actress	7.8	8.0
tt1301446	nm0000013	actress	7.0	6.0
tt1301447	nm0000013	actress	5.8	5.0
tt1340205	nm0000013	actress	7.5	8.0
tt1340206	nm0000013	actress	6.6	8.0
tt1340207	nm0000013	actress	7.2	8.0
tt1340208	nm0000013	actress	6.0	10.0
tt1340209	nm0000013	actress	6.9	10.0
tt1340210	nm0000013	actress	8.4	17.0
tt1340211	nm0000013	actress	6.8	18.0
tt1340212	nm0000013	actress	7.5	10.0
tt1340213	nm0000013	actress	7.8	10.0
tt1340214	nm0000013	actress	7.6	13.0
tt1340215	nm0000013	actress	7.9	12.0
tt1340216	nm0000013	actress	6.8	8.0
tt1340217	nm0000013	actress	6.5	11.0
tt1340218	nm0000013	actress	7.6	10.0
tt1340219	nm0000013	actress	6.6	9.0
